r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.0064230	1.3762
0.00040000	0.016674	0.89396
0.00060000	0.023957	0.77187
0.00080000	0.029914	0.56068
0.0010000	0.033900	0.26086
0.0012000	0.035552	-0.24609
0.0014000	0.034229	-0.60123
0.0016000	0.031589	-0.60097
0.0018000	0.029430	-0.60051
0.0020000	0.027625	-0.60109
0.0022000	0.026087	-0.60102
0.0024000	0.024758	-0.60067
0.0026000	0.023595	-0.60116
0.0028000	0.022567	-0.60121
0.0030000	0.021650	-0.60085
0.0032000	0.020827	-0.60192
0.0034000	0.020081	-0.60046
0.0036000	0.019403	-0.60140
0.0038000	0.018783	-0.60071
0.0040000	0.018213	-0.60053
0.0042000	0.017687	-0.60168
0.0044000	0.017199	-0.59982
0.0046000	0.016746	-0.60057
0.0048000	0.016323	-0.60195
0.0050000	0.015927	-0.60126
0.0052000	0.015556	-0.60187
0.0054000	0.015207	-0.60088
0.0056000	0.014878	-0.59990
0.0058000	0.014568	-0.60141
0.0060000	0.014274	-0.60181
0.0062000	0.013995	-0.60075
0.0064000	0.013731	-0.60141
0.0066000	0.013479	-0.59833
0.0068000	0.013240	-0.60164
0.0070000	0.013011	-0.60132
0.0072000	0.012793	-0.60116
0.0074000	0.012584	-0.60003
0.0076000	0.012384	-0.60098
0.0078000	0.012192	-0.60106
0.0080000	0.012008	-0.60122
0.0082000	0.011831	-0.60054
0.0084000	0.011661	-0.60272
0.0086000	0.011497	-0.60164
0.0088000	0.011339	-0.59982
0.0090000	0.011187	-0.60400
0.0092000	0.011040	-0.59933
0.0094000	0.010898	-0.60243
0.0096000	0.010761	-0.59913
0.0098000	0.010629	-0.59979
0.0100000	0.010501	-0.60480
0.010200	0.010376	-0.59653
0.010400	0.010256	-0.60387
0.010600	0.010139	-0.59935
0.010800	0.010026	-0.60285
0.011000	0.0099160	-0.59828
0.011200	0.0098092	-0.60104
0.011400	0.0097054	-0.60409
0.011600	0.0096045	-0.60099
0.011800	0.0095063	-0.59746
0.012000	0.0094108	-0.60188
0.012200	0.0093178	-0.60381
0.012400	0.0092271	-0.60100
0.012600	0.0091388	-0.59843
0.012800	0.0090528	-0.60143
0.013000	0.0089688	-0.59956
0.013200	0.0088869	-0.60285
0.013400	0.0088069	-0.60110
0.013600	0.0087289	-0.60135
0.013800	0.0086526	-0.60052
0.014000	0.0085781	-0.60101
0.014200	0.0085052	-0.59963
0.014400	0.0084341	-0.60046
0.014600	0.0083645	-0.60110
0.014800	0.0082964	-0.60241
0.015000	0.0082297	-0.60350
0.015200	0.0081644	-0.59888
0.015400	0.0081006	-0.60138
0.015600	0.0080380	-0.59809
0.015800	0.0079767	-0.60502
0.016000	0.0079166	-0.59747
0.016200	0.0078577	-0.60514
0.016400	0.0077999	-0.60189
0.016600	0.0077433	-0.59946
0.016800	0.0076878	-0.59785
0.017000	0.0076333	-0.59999
0.017200	0.0075799	-0.60555
0.017400	0.0075273	-0.60223
0.017600	0.0074758	-0.60100
0.017800	0.0074252	-0.59964
