r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.0032690	1.7137
0.00040000	0.010723	1.4354
0.00060000	0.019188	1.4486
0.00080000	0.029109	1.3584
0.0010000	0.039413	0.15903
0.0012000	0.040573	-0.44620
0.0014000	0.037877	-0.60415
0.0016000	0.034942	-0.60380
0.0018000	0.032543	-0.60395
0.0020000	0.030536	-0.60398
0.0022000	0.028828	-0.60411
0.0024000	0.027352	-0.60362
0.0026000	0.026061	-0.60363
0.0028000	0.024921	-0.60445
0.0030000	0.023903	-0.60379
0.0032000	0.022990	-0.60454
0.0034000	0.022163	-0.60349
0.0036000	0.021411	-0.60483
0.0038000	0.020723	-0.60375
0.0040000	0.020091	-0.60448
0.0042000	0.019507	-0.60371
0.0044000	0.018967	-0.60400
0.0046000	0.018464	-0.60266
0.0048000	0.017996	-0.60392
0.0050000	0.017558	-0.60573
0.0052000	0.017146	-0.60397
0.0054000	0.016760	-0.60323
0.0056000	0.016396	-0.60410
0.0058000	0.016052	-0.60338
0.0060000	0.015727	-0.60498
0.0062000	0.015418	-0.60525
0.0064000	0.015125	-0.60232
0.0066000	0.014847	-0.60233
0.0068000	0.014582	-0.60353
0.0070000	0.014329	-0.60616
0.0072000	0.014087	-0.60344
0.0074000	0.013856	-0.60492
0.0076000	0.013634	-0.60276
0.0078000	0.013422	-0.60536
0.0080000	0.013218	-0.60172
0.0082000	0.013023	-0.60662
0.0084000	0.012834	-0.60441
0.0086000	0.012653	-0.60203
0.0088000	0.012479	-0.60240
0.0090000	0.012311	-0.60862
0.0092000	0.012148	-0.60222
0.0094000	0.011991	-0.60347
0.0096000	0.011840	-0.60647
0.0098000	0.011693	-0.60057
0.0100000	0.011552	-0.60699
0.010200	0.011414	-0.60105
0.010400	0.011281	-0.60531
0.010600	0.011152	-0.60282
0.010800	0.011027	-0.60793
0.011000	0.010905	-0.60110
0.011200	0.010787	-0.60026
0.011400	0.010673	-0.60977
0.011600	0.010561	-0.60113
0.011800	0.010453	-0.60310
0.012000	0.010347	-0.60633
0.012200	0.010244	-0.60552
0.012400	0.010144	-0.60052
0.012600	0.010047	-0.60513
0.012800	0.0099514	-0.60444
0.013000	0.0098586	-0.60274
0.013200	0.0097681	-0.60540
0.013400	0.0096798	-0.60368
0.013600	0.0095937	-0.60455
0.013800	0.0095094	-0.60436
0.014000	0.0094270	-0.60319
0.014200	0.0093466	-0.60242
0.014400	0.0092681	-0.60457
0.014600	0.0091911	-0.60408
0.014800	0.0091159	-0.60494
0.015000	0.0090423	-0.60566
0.015200	0.0089703	-0.60317
0.015400	0.0088997	-0.60422
0.015600	0.0088306	-0.60036
0.015800	0.0087630	-0.60849
0.016000	0.0086966	-0.60113
0.016200	0.0086315	-0.60713
0.016400	0.0085678	-0.60414
0.016600	0.0085054	-0.60276
0.016800	0.0084441	-0.60126
0.017000	0.0083839	-0.60358
0.017200	0.0083249	-0.60795
0.017400	0.0082669	-0.60478
0.017600	0.0082101	-0.60463
0.017800	0.0081542	-0.60203
0.018000	0.0080994	-0.60044
0.018200	0.0080456	-0.60637
0.018400	0.0079926	-0.60435
0.018600	0.0079406	-0.60456
0.018800	0.0078894	-0.60220
0.019000	0.0078392	-0.60204
0.019200	0.0077898	-0.60887
0.019400	0.0077411	-0.60136
0.019600	0.0076933	-0.60672
0.019800	0.0076463	-0.60137
0.020000	0.0076000	-0.60790
0.020200	0.0075544	-0.60076
0.020400	0.0075096	-0.60583
0.020600	0.0074656	-0.60245
0.020800	0.0074221	-0.60244
0.021000	0.0073793	-0.60863
0.021200	0.0073372	-0.60492
0.021400	0.0072956	-0.60302
0.021600	0.0072548	-0.59897
0.021800	0.0072145	-0.60637
0.022000	0.0071748	-0.60717
0.022200	0.0071357	-0.60268
0.022400	0.0070971	-0.60321
0.022600	0.0070591	-0.60363
0.022800	0.0070217	-0.60729
0.023000	0.0069847	-0.60225
0.023200	0.0069482	-0.60237
0.023400	0.0069123	-0.60406
0.023600	0.0068769	-0.60570
0.023800	0.0068420	-0.60354
0.024000	0.0068074	-0.60322
0.024200	0.0067734	-0.60646
0.024400	0.0067398	-0.60040
0.024600	0.0067067	-0.60529
0.024800	0.0066739	-0.60643
0.025000	0.0066416	-0.60184
0.025200	0.0066097	-0.60468
0.025400	0.0065782	-0.60759
0.025600	0.0065471	-0.60258
0.025800	0.0065164	-0.60528
0.026000	0.0064861	-0.60007
0.026200	0.0064562	-0.60464
0.026400	0.0064266	-0.60334
0.026600	0.0063972	-0.60970
0.026800	0.0063684	-0.59802
0.027000	0.0063399	-0.60242
0.027200	0.0063117	-0.60688
0.027400	0.0062838	-0.60082
0.027600	0.0062563	-0.60737
0.027800	0.0062290	-0.60954
0.028000	0.0062021	-0.59923
0.028200	0.0061754	-0.60974
0.028400	0.0061491	-0.59680
0.028600	0.0061231	-0.60952
0.028800	0.0060974	-0.60737
0.029000	0.0060719	-0.60041
0.029200	0.0060468	-0.60676
0.029400	0.0060219	-0.60447
0.029600	0.0059972	-0.59703
0.029800	0.0059729	-0.61258
0.030000	0.0059488	-0.59834
0.030200	0.0059250	-0.60470
0.030400	0.0059014	-0.61123
0.030600	0.0058780	-0.59663
0.030800	0.0058549	-0.60967
0.031000	0.0058321	-0.59993
0.031200	0.0058094	-0.60366
0.031400	0.0057870	-0.60740
0.031600	0.0057649	-0.60685
0.031800	0.0057429	-0.60089
0.032000	0.0057212	-0.60729
0.032200	0.0056997	-0.60388
0.032400	0.0056784	-0.60042
0.032600	0.0056573	-0.60676
0.032800	0.0056364	-0.60317
0.033000	0.0056157	-0.60955
0.033200	0.0055952	-0.60574
0.033400	0.0055749	-0.60200
0.033600	0.0055548	-0.60527
0.033800	0.0055350	-0.60737
0.034000	0.0055152	-0.60032
0.034200	0.0054957	-0.60657
0.034400	0.0054764	-0.60550
0.034600	0.0054572	-0.60139
0.034800	0.0054382	-0.60752
0.035000	0.0054194	-0.60641
0.035200	0.0054007	-0.60200
0.035400	0.0053822	-0.60823
0.035600	0.0053639	-0.60692
0.035800	0.0053457	-0.59894
0.036000	0.0053278	-0.61193
0.036200	0.0053099	-0.60705
0.036400	0.0052922	-0.60566
0.036600	0.0052746	-0.60833
0.036800	0.0052573	-0.59933
0.037000	0.0052400	-0.60179
0.037200	0.0052230	-0.61511
0.037400	0.0052060	-0.60624
0.037600	0.0051893	-0.59691
0.037800	0.0051726	-0.61440
0.038000	0.0051561	-0.60108
0.038200	0.0051397	-0.60715
0.038400	0.0051235	-0.60520
0.038600	0.0051074	-0.60715
0.038800	0.0050913	-0.60951
0.039000	0.0050755	-0.60745
0.039200	0.0050598	-0.60549
0.039400	0.0050442	-0.60343
0.039600	0.0050287	-0.60941
0.039800	0.0050134	-0.61129
0.040000	0.0049981	-0.60112
0.040200	0.0049831	-0.60700
0.040400	0.0049680	-0.61298
0.040600	0.0049531	-0.60656
0.040800	0.0049384	-0.60841
0.041000	0.0049237	-0.60189
0.041200	0.0049092	-0.61630
0.041400	0.0048947	-0.60945
0.041600	0.0048804	-0.60709
0.041800	0.0048662	-0.60458
0.042000	0.0048521	-0.60627
0.042200	0.0048380	-0.61218
0.042400	0.0048241	-0.60945
0.042600	0.0048103	-0.60245
0.042800	0.0047967	-0.62175
0.043000	0.0047830	-0.60143
0.043200	0.0047695	-0.61159
0.043400	0.0047561	-0.60879
0.043600	0.0047428	-0.61045
0.043800	0.0047295	-0.61640
0.044000	0.0047164	-0.60464
0.044200	0.0047033	-0.61513
0.044400	0.0046903	-0.60726
0.044600	0.0046775	-0.61365
0.044800	0.0046646	-0.61479
0.045000	0.0046520	-0.62130
0.045200	0.0046393	-0.59955
0.045400	0.0046268	-0.61479
0.045600	0.0046143	-0.62076
0.045800	0.0046020	-0.61328
0.046000	0.0045896	-0.61891
0.046200	0.0045774	-0.62076
0.046400	0.0045652	-0.61203
0.046600	0.0045532	-0.61377
0.046800	0.0045412	-0.61015
0.047000	0.0045293	-0.62636
0.047200	0.0045174	-0.60834
0.047400	0.0045056	-0.61910
0.047600	0.0044939	-0.61535
0.047800	0.0044823	-0.63201
0.048000	0.0044707	-0.61327
0.048200	0.0044592	-0.62980
0.048400	0.0044477	-0.60570
0.048600	0.0044364	-0.62755
0.048800	0.0044250	-0.61813
