r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.017190	0.74835
0.00040000	0.028877	0.86119
0.00060000	0.040945	0.70366
0.00080000	0.050132	0.25100
0.0010000	0.053020	0.22865
0.0012000	0.055277	-0.23761
0.0014000	0.053289	-0.60642
0.0016000	0.049144	-0.83859
0.0018000	0.044522	-0.66405
0.0020000	0.041513	-0.66389
0.0022000	0.038968	-0.66404
0.0024000	0.036780	-0.66398
0.0026000	0.034877	-0.66408
0.0028000	0.033202	-0.66401
0.0030000	0.031715	-0.66403
0.0032000	0.030385	-0.66395
0.0034000	0.029186	-0.66398
0.0036000	0.028099	-0.66397
0.0038000	0.027108	-0.66388
0.0040000	0.026201	-0.66412
0.0042000	0.025365	-0.66393
0.0044000	0.024594	-0.66409
0.0046000	0.023878	-0.66410
0.0048000	0.023213	-0.66387
0.0050000	0.022592	-0.66389
0.0052000	0.022012	-0.66416
0.0054000	0.021467	-0.66421
0.0056000	0.020954	-0.66395
0.0058000	0.020472	-0.66408
0.0060000	0.020016	-0.66395
0.0062000	0.019585	-0.66393
0.0064000	0.019177	-0.66368
0.0066000	0.018789	-0.66438
0.0068000	0.018420	-0.66362
0.0070000	0.018069	-0.66409
0.0072000	0.017734	-0.66441
0.0074000	0.017414	-0.66390
0.0076000	0.017109	-0.66370
0.0078000	0.016816	-0.66426
0.0080000	0.016536	-0.66360
0.0082000	0.016267	-0.66446
0.0084000	0.016009	-0.66389
0.0086000	0.015760	-0.66390
0.0088000	0.015522	-0.66433
0.0090000	0.015292	-0.66353
0.0092000	0.015070	-0.66449
0.0094000	0.014856	-0.66334
0.0096000	0.014650	-0.66398
0.0098000	0.014451	-0.66446
0.0100000	0.014258	-0.66395
0.010200	0.014072	-0.66410
0.010400	0.013892	-0.66363
0.010600	0.013717	-0.66454
0.010800	0.013548	-0.66399
0.011000	0.013384	-0.66391
0.011200	0.013225	-0.66410
0.011400	0.013070	-0.66392
0.011600	0.012920	-0.66402
0.011800	0.012774	-0.66397
0.012000	0.012633	-0.66352
0.012200	0.012495	-0.66452
0.012400	0.012361	-0.66414
0.012600	0.012230	-0.66360
0.012800	0.012103	-0.66385
0.013000	0.011979	-0.66453
0.013200	0.011858	-0.66360
0.013400	0.011740	-0.66375
0.013600	0.011625	-0.66475
0.013800	0.011513	-0.66397
0.014000	0.011404	-0.66306
0.014200	0.011297	-0.66425
0.014400	0.011192	-0.66467
0.014600	0.011090	-0.66320
0.014800	0.010991	-0.66405
0.015000	0.010893	-0.66397
0.015200	0.010798	-0.66455
0.015400	0.010704	-0.66435
0.015600	0.010613	-0.66363
0.015800	0.010524	-0.66399
0.016000	0.010436	-0.66383
0.016200	0.010350	-0.66419
0.016400	0.010266	-0.66418
0.016600	0.010184	-0.66344
0.016800	0.010103	-0.66460
0.017000	0.010024	-0.66407
0.017200	0.0099467	-0.66437
0.017400	0.0098706	-0.66389
0.017600	0.0097960	-0.66367
0.017800	0.0097228	-0.66371
0.018000	0.0096510	-0.66388
0.018200	0.0095805	-0.66434
0.018400	0.0095111	-0.66421
0.018600	0.0094431	-0.66368
0.018800	0.0093763	-0.66416
0.019000	0.0093106	-0.66483
0.019200	0.0092460	-0.66312
0.019400	0.0091827	-0.66464
0.019600	0.0091203	-0.66394
0.019800	0.0090591	-0.66323
0.020000	0.0089989	-0.66429
0.020200	0.0089396	-0.66465
0.020400	0.0088812	-0.66359
0.020600	0.0088239	-0.66423
0.020800	0.0087675	-0.66383
0.021000	0.0087120	-0.66393
0.021200	0.0086573	-0.66414
0.021400	0.0086035	-0.66515
0.021600	0.0085504	-0.66273
0.021800	0.0084984	-0.66406
0.022000	0.0084470	-0.66505
0.022200	0.0083963	-0.66305
0.022400	0.0083465	-0.66395
0.022600	0.0082974	-0.66454
0.022800	0.0082490	-0.66436
0.023000	0.0082012	-0.66446
0.023200	0.0081542	-0.66339
0.023400	0.0081079	-0.66444
0.023600	0.0080622	-0.66348
0.023800	0.0080171	-0.66549
0.024000	0.0079726	-0.66370
0.024200	0.0079288	-0.66389
0.024400	0.0078856	-0.66386
0.024600	0.0078430	-0.66413
0.024800	0.0078009	-0.66467
0.025000	0.0077594	-0.66306
0.025200	0.0077185	-0.66526
0.025400	0.0076780	-0.66336
0.025600	0.0076382	-0.66371
0.025800	0.0075988	-0.66424
0.026000	0.0075600	-0.66422
0.026200	0.0075216	-0.66428
0.026400	0.0074837	-0.66347
0.026600	0.0074463	-0.66440
0.026800	0.0074093	-0.66506
0.027000	0.0073728	-0.66458
0.027200	0.0073367	-0.66385
0.027400	0.0073011	-0.66345
0.027600	0.0072660	-0.66464
0.027800	0.0072312	-0.66445
0.028000	0.0071968	-0.66466
0.028200	0.0071629	-0.66332
0.028400	0.0071294	-0.66447
0.028600	0.0070962	-0.66518
0.028800	0.0070634	-0.66469
0.029000	0.0070310	-0.66368
0.029200	0.0069990	-0.66294
0.029400	0.0069674	-0.66592
0.029600	0.0069360	-0.66400
0.029800	0.0069050	-0.66282
0.030000	0.0068745	-0.66566
0.030200	0.0068442	-0.66469
0.030400	0.0068142	-0.66458
0.030600	0.0067846	-0.66284
0.030800	0.0067553	-0.66458
0.031000	0.0067263	-0.66415
0.031200	0.0066977	-0.66597
0.031400	0.0066692	-0.66434
0.031600	0.0066412	-0.66523
0.031800	0.0066133	-0.66266
0.032000	0.0065859	-0.66554
0.032200	0.0065587	-0.66551
0.032400	0.0065317	-0.66321
0.032600	0.0065051	-0.66547
0.032800	0.0064787	-0.66431
0.033000	0.0064526	-0.66338
0.033200	0.0064267	-0.66667
0.033400	0.0064011	-0.66355
0.033600	0.0063758	-0.66592
0.033800	0.0063506	-0.66395
0.034000	0.0063258	-0.66439
0.034200	0.0063012	-0.66560
0.034400	0.0062768	-0.66502
0.034600	0.0062526	-0.66383
0.034800	0.0062287	-0.66509
0.035000	0.0062050	-0.66455
0.035200	0.0061816	-0.66672
0.035400	0.0061583	-0.66466
0.035600	0.0061353	-0.66451
