r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.020803	0.72625
0.00040000	0.034415	0.72336
0.00060000	0.046145	0.55581
0.00080000	0.054146	0.12930
0.0010000	0.055731	-0.80595
0.0012000	0.048115	-0.99849
0.0014000	0.041251	-0.99806
0.0016000	0.036104	-0.99880
0.0018000	0.032097	-0.99944
0.0020000	0.028889	-0.99909
0.0022000	0.026265	-0.99869
0.0024000	0.024079	-0.99818
0.0026000	0.022230	-0.99944
0.0028000	0.020643	-0.99835
0.0030000	0.019269	-0.99716
0.0032000	0.018068	-0.99921
0.0034000	0.017006	-0.99915
0.0036000	0.016062	-0.99956
0.0038000	0.015217	-0.99750
0.0040000	0.014458	-0.99929
0.0042000	0.013770	-1.0002
0.0044000	0.013144	-0.99735
0.0046000	0.012574	-1.0021
0.0048000	0.012049	-0.99797
0.0050000	0.011568	-0.99559
0.0052000	0.011125	-1.0024
0.0054000	0.010712	-0.99314
0.0056000	0.010332	-1.0015
0.0058000	0.0099752	-1.0015
0.0060000	0.0096422	-0.99334
0.0062000	0.0093332	-1.0047
0.0064000	0.0090402	-0.99650
0.0066000	0.0087672	-0.99663
0.0068000	0.0085102	-0.99520
0.0070000	0.0082682	-1.0015
0.0072000	0.0080382	-0.99883
0.0074000	0.0078212	-1.0009
0.0076000	0.0076152	-0.99343
0.0078000	0.0074212	-1.0080
0.0080000	0.0072342	-0.99229
0.0082000	0.0070591	-0.99954
0.0084000	0.0068911	-1.0047
0.0086000	0.0067301	-0.99367
0.0088000	0.0065781	-1.0057
0.0090000	0.0064311	-0.99416
0.0092000	0.0062921	-1.0009
0.0094000	0.0061581	-0.98983
0.0096000	0.0060311	-1.0075
0.0098000	0.0059071	-0.99877
0.0100000	0.0057891	-0.99545
0.010200	0.0056761	-0.99948
0.010400	0.0055670	-0.99965
0.010600	0.0054620	-0.99852
0.010800	0.0053610	-0.99509
0.011000	0.0052640	-1.0000
0.011200	0.0051700	-1.0033
0.011400	0.0050790	-1.0050
0.011600	0.0049910	-0.99291
0.011800	0.0049070	-0.99035
0.012000	0.0048260	-1.0125
0.012200	0.0047459	-0.99282
0.012400	0.0046699	-0.99827
0.012600	0.0045959	-1.0027
0.012800	0.0045239	-0.99133
0.013000	0.0044549	-1.0075
0.013200	0.0043869	-0.99268
0.013400	0.0043219	-1.0086
0.013600	0.0042578	-1.0048
0.013800	0.0041958	-1.0010
0.014000	0.0041358	-0.99570
0.014200	0.0040778	-0.98868
0.014400	0.0040218	-0.99831
0.014600	0.0039668	-1.0093
0.014800	0.0039127	-0.99673
0.015000	0.0038607	-1.0040
0.015200	0.0038097	-0.99030
0.015400	0.0037607	-0.99553
0.015600	0.0037127	-1.0001
0.015800	0.0036657	-1.0061
0.016000	0.0036196	-0.98453
0.016200	0.0035756	-1.0091
0.016400	0.0035316	-0.98698
0.016600	0.0034896	-1.0111
0.016800	0.0034476	-1.0134
0.017000	0.0034065	-0.98447
0.017200	0.0033675	-1.0077
0.017400	0.0033285	-1.0047
0.017600	0.0032905	-1.0008
0.017800	0.0032535	-0.99859
0.018000	0.0032174	-0.98990
0.018200	0.0031824	-0.98279
0.018400	0.0031484	-1.0044
0.018600	0.0031144	-0.99900
0.018800	0.0030813	-1.0176
0.019000	0.0030483	-1.0078
0.019200	0.0030163	-0.99692
0.019400	0.0029853	-0.98808
0.019600	0.0029552	-1.0050
0.019800	0.0029252	-0.99132
0.020000	0.0028962	-1.0114
0.020200	0.0028672	-0.99966
0.020400	0.0028391	-0.97942
0.020600	0.0028121	-0.99854
0.020800	0.0027851	-1.0180
0.021000	0.0027581	-1.0031
0.021200	0.0027320	-1.0184
0.021400	0.0027060	-0.99777
0.021600	0.0026810	-0.97972
0.021800	0.0026569	-0.99363
0.022000	0.0026329	-1.0119
0.022200	0.0026089	-0.99163
0.022400	0.0025858	-1.0051
0.022600	0.0025628	-1.0232
0.022800	0.0025398	-1.0007
0.023000	0.0025177	-0.96742
0.023200	0.0024967	-1.0311
0.023400	0.0024747	-1.0062
0.023600	0.0024536	-0.96985
0.023800	0.0024336	-1.0357
0.024000	0.0024126	-1.0081
0.024200	0.0023925	-0.96874
0.024400	0.0023735	-0.98975
0.024600	0.0023544	-1.0536
0.024800	0.0023344	-0.96370
0.025000	0.0023164	-0.98447
0.025200	0.0022983	-0.99466
0.025400	0.0022803	-1.0161
0.025600	0.0022622	-1.0266
0.025800	0.0022442	-0.98466
0.026000	0.0022272	-1.0058
0.026200	0.0022101	-1.0154
0.026400	0.0021931	-1.0372
0.026600	0.0021760	-0.92342
0.026800	0.0021610	-1.0685
0.027000	0.0021439	-0.95132
0.027200	0.0021289	-1.0363
0.027400	0.0021128	-0.97967
0.027600	0.0020978	-1.0005
0.027800	0.0020827	-1.0083
0.028000	0.0020677	-1.0298
