r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.019205	1.1552
0.00040000	0.042654	1.1892
0.00060000	0.069115	0.19914
0.00080000	0.073364	-0.034189
0.0010000	0.072875	-0.60141
0.0012000	0.065309	-0.59337
0.0014000	0.059521	-0.59424
0.0016000	0.054917	-0.60960
0.0018000	0.051158	-0.60982
0.0020000	0.048013	-0.59747
0.0022000	0.045344	-0.59313
0.0024000	0.043023	-0.61069
0.0026000	0.041004	-0.61501
0.0028000	0.039211	-0.58668
0.0030000	0.037621	-0.60576
0.0032000	0.036186	-0.59896
0.0034000	0.034890	-0.60788
0.0036000	0.033709	-0.59672
0.0038000	0.032626	-0.59066
0.0040000	0.031636	-0.60264
0.0042000	0.030719	-0.61204
0.0044000	0.029871	-0.59339
0.0046000	0.029080	-0.60848
0.0048000	0.028349	-0.61551
0.0050000	0.027658	-0.61400
0.0052000	0.027014	-0.59020
0.0054000	0.026405	-0.59358
0.0056000	0.025836	-0.61776
0.0058000	0.025293	-0.60839
0.0060000	0.024785	-0.59871
0.0062000	0.024298	-0.58254
0.0064000	0.023842	-0.60036
0.0066000	0.023401	-0.60697
0.0068000	0.022987	-0.59678
0.0070000	0.022587	-0.60319
0.0072000	0.022206	-0.59862
0.0074000	0.021845	-0.61661
0.0076000	0.021497	-0.59207
0.0078000	0.021162	-0.58855
0.0080000	0.020842	-0.59136
0.0082000	0.020536	-0.60428
0.0084000	0.020239	-0.60284
0.0086000	0.019955	-0.59061
0.0088000	0.019681	-0.60302
0.0090000	0.019416	-0.61899
0.0092000	0.019159	-0.58957
0.0094000	0.018913	-0.58654
0.0096000	0.018675	-0.58388
0.0098000	0.018446	-0.59523
0.0100000	0.018223	-0.59471
0.010200	0.018007	-0.60163
0.010400	0.017799	-0.61266
0.010600	0.017594	-0.60704
0.010800	0.017399	-0.61589
0.011000	0.017208	-0.59247
0.011200	0.017021	-0.61718
0.011400	0.016839	-0.59364
0.011600	0.016666	-0.61944
0.011800	0.016493	-0.59109
0.012000	0.016327	-0.57983
0.012200	0.016168	-0.59692
0.012400	0.016009	-0.61336
0.012600	0.015855	-0.60067
0.012800	0.015707	-0.58783
0.013000	0.015561	-0.60945
0.013200	0.015419	-0.59843
0.013400	0.015279	-0.61080
0.013600	0.015144	-0.58935
0.013800	0.015012	-0.61826
0.014000	0.014881	-0.60950
0.014200	0.014754	-0.58158
0.014400	0.014632	-0.60966
0.014600	0.014511	-0.61880
0.014800	0.014392	-0.61545
0.015000	0.014275	-0.60264
0.015200	0.014163	-0.60397
0.015400	0.014052	-0.60965
0.015600	0.013943	-0.60473
0.015800	0.013836	-0.59722
0.016000	0.013732	-0.61264
0.016200	0.013629	-0.60350
0.016400	0.013529	-0.58916
0.016600	0.013432	-0.60055
0.016800	0.013336	-0.59952
0.017000	0.013241	-0.59772
0.017200	0.013147	-0.60669
0.017400	0.013056	-0.59428
0.017600	0.012967	-0.61167
0.017800	0.012879	-0.61030
0.018000	0.012793	-0.58854
0.018200	0.012708	-0.61780
0.018400	0.012624	-0.59723
0.018600	0.012543	-0.59751
0.018800	0.012462	-0.61528
0.019000	0.012382	-0.60350
0.019200	0.012305	-0.60609
0.019400	0.012228	-0.59610
0.019600	0.012153	-0.60741
0.019800	0.012079	-0.59637
0.020000	0.012006	-0.61161
0.020200	0.011933	-0.58224
0.020400	0.011864	-0.59892
0.020600	0.011794	-0.60327
0.020800	0.011725	-0.59842
0.021000	0.011658	-0.61866
0.021200	0.011591	-0.59751
0.021400	0.011527	-0.60963
0.021600	0.011463	-0.59640
0.021800	0.011399	-0.61989
0.022000	0.011336	-0.60143
0.022200	0.011274	-0.57700
0.022400	0.011215	-0.61540
0.022600	0.011155	-0.59856
0.022800	0.011096	-0.59622
0.023000	0.011036	-0.59794
0.023200	0.010978	-0.57375
0.023400	0.010923	-0.61940
0.023600	0.010866	-0.59908
0.023800	0.010810	-0.60548
0.024000	0.010756	-0.58016
0.024200	0.010704	-0.61667
0.024400	0.010650	-0.60265
0.024600	0.010598	-0.60370
0.024800	0.010546	-0.59356
0.025000	0.010497	-0.62138
0.025200	0.010445	-0.59945
0.025400	0.010396	-0.60456
0.025600	0.010347	-0.59030
0.025800	0.010299	-0.60358
0.026000	0.010251	-0.61080
0.026200	0.010204	-0.58845
0.026400	0.010158	-0.62536
0.026600	0.010111	-0.60051
0.026800	0.010065	-0.57517
0.027000	0.010022	-0.61800
0.027200	0.0099772	-0.61332
0.027400	0.0099332	-0.60704
0.027600	0.0098892	-0.60396
0.027800	0.0098452	-0.60467
0.028000	0.0098032	-0.59813
0.028200	0.0097612	-0.60958
0.028400	0.0097201	-0.60788
0.028600	0.0096791	-0.58184
0.028800	0.0096401	-0.59573
0.029000	0.0096001	-0.62883
0.029200	0.0095591	-0.60203
0.029400	0.0095201	-0.57898
0.029600	0.0094820	-0.62876
0.029800	0.0094420	-0.58818
0.030000	0.0094040	-0.60483
0.030200	0.0093670	-0.60124
0.030400	0.0093300	-0.58019
0.030600	0.0092939	-0.60328
0.030800	0.0092569	-0.59653
0.031000	0.0092209	-0.58053
0.031200	0.0091859	-0.62323
0.031400	0.0091498	-0.62988
0.031600	0.0091138	-0.58993
0.031800	0.0090808	-0.60064
0.032000	0.0090468	-0.59676
0.032200	0.0090127	-0.61966
0.032400	0.0089777	-0.59465
