t (s)	R(t)	Log Derivative
0.0010000	0.00042535	2.0562
0.0020000	0.0017691	1.1461
0.0030000	0.0028155	0.88371
0.0040000	0.0036305	0.72206
0.0050000	0.0042653	0.60145
0.0060000	0.0047596	0.50457
0.0070000	0.0051446	0.42420
0.0080000	0.0054444	0.48731
0.0090000	0.0057660	0.49974
0.0100000	0.0060777	0.49309
0.011000	0.0063702	0.49104
0.012000	0.0066483	0.49890
0.013000	0.0069191	0.49126
0.014000	0.0071757	0.48952
0.015000	0.0074222	0.50047
0.016000	0.0076658	0.49612
0.017000	0.0078999	0.49504
0.018000	0.0081266	0.48825
0.019000	0.0083440	0.49737
0.020000	0.0085596	0.49081
0.021000	0.0087670	0.50455
0.022000	0.0089753	0.49404
0.023000	0.0091745	0.49142
0.024000	0.0093684	0.49547
0.025000	0.0095599	0.48721
0.026000	0.0097443	0.48895
0.027000	0.0099258	0.49917
0.028000	0.010108	0.49940
0.029000	0.010286	0.48770
0.030000	0.010458	0.49602
0.031000	0.010629	0.49236
0.032000	0.010797	0.49350
0.033000	0.010962	0.50322
0.034000	0.011128	0.49540
0.035000	0.011289	0.48750
0.036000	0.011445	0.49817
0.037000	0.011602	0.48681
0.038000	0.011754	0.50735
0.039000	0.011910	0.49108
0.040000	0.012059	0.49559
0.041000	0.012207	0.49015
0.042000	0.012352	0.48686
0.043000	0.012495	0.50284
0.044000	0.012640	0.49494
0.045000	0.012781	0.49925
0.046000	0.012922	0.48530
0.047000	0.013058	0.49787
0.048000	0.013195	0.48305
0.049000	0.013327	0.49273
0.050000	0.013461	0.49288
0.051000	0.013593	0.50600
0.052000	0.013727	0.49243
0.053000	0.013856	0.49694
0.054000	0.013986	0.49378
0.055000	0.014113	0.48474
0.056000	0.014237	0.50804
0.057000	0.014365	0.49434
0.058000	0.014489	0.48826
0.059000	0.014611	0.50203
0.060000	0.014735	0.48309
0.061000	0.014853	0.50295
0.062000	0.014975	0.48398
0.063000	0.015091	0.48497
0.064000	0.015207	0.50308
0.065000	0.015326	0.50493
0.066000	0.015445	0.49453
0.067000	0.015560	0.49013
0.068000	0.015673	0.48250
0.069000	0.015784	0.48920
0.070000	0.015896	0.50088
0.071000	0.016009	0.50022
0.072000	0.016121	0.50524
0.073000	0.016234	0.49459
0.074000	0.016344	0.47037
0.075000	0.016447	0.51791
0.076000	0.016560	0.48781
0.077000	0.016666	0.47660
0.078000	0.016769	0.50263
0.079000	0.016877	0.50331
0.080000	0.016984	0.48634
0.081000	0.017087	0.49253
0.082000	0.017191	0.50574
0.083000	0.017296	0.48945
0.084000	0.017398	0.48786
0.085000	0.017499	0.50256
0.086000	0.017602	0.49796
0.087000	0.017703	0.48399
0.088000	0.017802	0.50433
0.089000	0.017903	0.47657
0.090000	0.017999	0.50542
0.091000	0.018100	0.47989
0.092000	0.018195	0.50440
0.093000	0.018294	0.49029
0.094000	0.018391	0.48689
0.095000	0.018486	0.50653
0.096000	0.018584	0.50609
0.097000	0.018682	0.49055
0.098000	0.018776	0.47022
0.099000	0.018866	0.50444
0.10000	0.018962	0.50162
0.10100	0.019056	0.48029
0.10200	0.019147	0.50194
0.10300	0.019241	0.48758
0.10400	0.019332	0.50462
0.10500	0.019425	0.49166
0.10600	0.019516	0.48760
0.10700	0.019606	0.50447
0.10800	0.019698	0.48242
0.10900	0.019786	0.49712
0.11000	0.019876	0.51249
0.11100	0.019968	0.48316
0.11200	0.020055	0.47780
0.11300	0.020140	0.52448
0.11400	0.020233	0.49169
0.11500	0.020320	0.47644
0.11600	0.020404	0.49338
0.11700	0.020491	0.49182
0.11800	0.020577	0.49496
0.11900	0.020663	0.49093
0.12000	0.020748	0.51112
0.12100	0.020836	0.50424
0.12200	0.020923	0.49013
0.12300	0.021007	0.47374
0.12400	0.021088	0.49877
0.12500	0.021172	0.48224
0.12600	0.021254	0.51226
0.12700	0.021340	0.50120
0.12800	0.021424	0.49188
0.12900	0.021506	0.49166
0.13000	0.021588	0.49572
0.13100	0.021670	0.48119
0.13200	0.021750	0.48163
0.13300	0.021829	0.49648
0.13400	0.021910	0.51536
0.13500	0.021994	0.49725
0.13600	0.022075	0.49763
0.13700	0.022156	0.49361
0.13800	0.022235	0.48217
0.13900	0.022313	0.49283
0.14000	0.022392	0.49389
0.14100	0.022471	0.49821
0.14200	0.022550	0.48625
0.14300	0.022627	0.51114
0.14400	0.022708	0.47050
0.14500	0.022782	0.49932
0.14600	0.022860	0.49500
0.14700	0.022938	0.51185
0.14800	0.023017	0.46675
0.14900	0.023090	0.49021
0.15000	0.023166	0.50680
0.15100	0.023244	0.48462
0.15200	0.023318	0.51673
0.15300	0.023397	0.49435
0.15400	0.023473	0.49172
0.15500	0.023548	0.47310
0.15600	0.023620	0.51181
0.15700	0.023697	0.49147
0.15800	0.023771	0.47573
0.15900	0.023842	0.52425
0.16000	0.023921	0.47515
0.16100	0.023992	0.52039
0.16200	0.024069	0.47932
0.16300	0.024140	0.47647
0.16400	0.024211	0.50362
0.16500	0.024285	0.49749
0.16600	0.024358	0.48366
0.16700	0.024429	0.51959
0.16800	0.024505	0.46790
0.16900	0.024573	0.52228
0.17000	0.024649	0.45927
0.17100	0.024715	0.52379
0.17200	0.024791	0.48086
0.17300	0.024860	0.47575
0.17400	0.024928	0.49575
0.17500	0.024999	0.52990
0.17600	0.025075	0.47900
0.17700	0.025143	0.48917
0.17800	0.025212	0.50644
0.17900	0.025284	0.47640
0.18000	0.025351	0.48833
0.18100	0.025420	0.51368
0.18200	0.025492	0.47071
0.18300	0.025558	0.50215
0.18400	0.025628	0.51967
0.18500	0.025700	0.49375
0.18600	0.025769	0.46687
0.18700	0.025833	0.48540
0.18800	0.025900	0.51502
0.18900	0.025971	0.50259
0.19000	0.026040	0.48448
0.19100	0.026106	0.50309
0.19200	0.026175	0.49053
0.19300	0.026242	0.48658
0.19400	0.026308	0.49878
0.19500	0.026375	0.47166
