Time t (s)	R(t) (m)	Log Derivative
0.0010000	0.0011615	1.7139
0.0020000	0.0038103	1.1461
0.0030000	0.0060642	0.88371
0.0040000	0.0078196	0.72206
0.0050000	0.0091867	0.60144
0.0060000	0.010251	0.48423
0.0070000	0.011046	0.50935
0.0080000	0.011823	0.50571
0.0090000	0.012549	0.51275
0.0100000	0.013246	0.50928
0.011000	0.013904	0.50626
0.012000	0.014531	0.51096
0.013000	0.015137	0.50221
0.014000	0.015711	0.50337
0.015000	0.016266	0.51109
0.016000	0.016812	0.50861
0.017000	0.017338	0.50546
0.018000	0.017847	0.51605
0.019000	0.018351	0.50821
0.020000	0.018836	0.50442
0.021000	0.019305	0.50903
0.022000	0.019768	0.49723
0.023000	0.020210	0.50624
0.024000	0.020650	0.50933
0.025000	0.021084	0.51803
0.026000	0.021517	0.49470
0.027000	0.021922	0.51527
0.028000	0.022337	0.50306
0.029000	0.022735	0.51431
0.030000	0.023134	0.50612
0.031000	0.023522	0.51003
0.032000	0.023906	0.49897
0.033000	0.024275	0.51658
0.034000	0.024653	0.50259
0.035000	0.025015	0.51471
0.036000	0.025380	0.50029
0.037000	0.025730	0.49739
0.038000	0.026074	0.50755
0.039000	0.026420	0.51640
0.040000	0.026767	0.51507
0.041000	0.027110	0.50707
0.042000	0.027443	0.49101
0.043000	0.027762	0.52376
0.044000	0.028099	0.50950
0.045000	0.028422	0.49163
0.046000	0.028731	0.50539
0.047000	0.029045	0.51869
0.048000	0.029364	0.50105
0.049000	0.029669	0.51566
0.050000	0.029979	0.49574
0.051000	0.030275	0.51381
0.052000	0.030579	0.49810
0.053000	0.030870	0.51671
0.054000	0.031170	0.51753
0.055000	0.031467	0.48999
0.056000	0.031746	0.51668
0.057000	0.032038	0.50229
0.058000	0.032319	0.51620
0.059000	0.032606	0.49613
0.060000	0.032879	0.50457
0.061000	0.033154	0.51645
0.062000	0.033434	0.51617
0.063000	0.033711	0.50425
0.064000	0.033980	0.49554
0.065000	0.034242	0.50224
0.066000	0.034505	0.51676
0.067000	0.034774	0.51309
0.068000	0.035040	0.48729
0.069000	0.035290	0.51954
0.070000	0.035555	0.49478
0.071000	0.035805	0.51082
0.072000	0.036062	0.51837
0.073000	0.036321	0.51740
0.074000	0.036577	0.49917
0.075000	0.036823	0.49132
0.076000	0.037063	0.50865
0.077000	0.037311	0.51078
0.078000	0.037557	0.51171
0.079000	0.037803	0.51688
0.080000	0.038050	0.51595
0.081000	0.038294	0.50137
0.082000	0.038531	0.50415
0.083000	0.038767	0.51242
0.084000	0.039005	0.50740
0.085000	0.039240	0.50089
0.086000	0.039471	0.49571
0.087000	0.039698	0.52083
0.088000	0.039935	0.49918
0.089000	0.040161	0.49381
0.090000	0.040383	0.52132
0.091000	0.040616	0.52038
0.092000	0.040848	0.48482
0.093000	0.041062	0.51825
0.094000	0.041291	0.52120
0.095000	0.041519	0.50157
0.096000	0.041738	0.50921
0.097000	0.041959	0.50798
0.098000	0.042178	0.50258
0.099000	0.042393	0.48944
0.10000	0.042603	0.51925
0.10100	0.042823	0.50074
0.10200	0.043035	0.51521
0.10300	0.043252	0.51502
0.10400	0.043468	0.48890
0.10500	0.043671	0.50610
0.10600	0.043881	0.50118
0.10700	0.044088	0.52946
0.10800	0.044306	0.49168
0.10900	0.044507	0.50505
0.11000	0.044713	0.50530
0.11100	0.044918	0.53598
0.11200	0.045135	0.48722
0.11300	0.045330	0.51230
0.11400	0.045535	0.50629
0.11500	0.045737	0.49605
0.11600	0.045934	0.51307
0.11700	0.046137	0.50826
0.11800	0.046337	0.52329
0.11900	0.046542	0.50227
0.12000	0.046738	0.48676
0.12100	0.046927	0.53052
0.12200	0.047133	0.50949
0.12300	0.047329	0.50515
0.12400	0.047523	0.47998
0.12500	0.047706	0.53185
0.12600	0.047909	0.49024
0.12700	0.048095	0.52512
0.12800	0.048294	0.50386
